State ,Location,"All Ages, 2012","Ages 0-20, 2012","Ages 21-34, 2012","Ages 35+, 2012","Male, 2012","Female, 2012"
Connecticut,"Connecticut
(41.562661, -72.64984)",2.4,,5.9,2.1,3.7,1.1
Kentucky,"Kentucky
(37.645973, -84.774968)",4,1.8,7.2,3.7,6.5,1.5
South Dakota,"South Dakota
(44.35313, -100.373529)",5.7,,,,7.4,
Oklahoma,"Oklahoma
(35.472031, -97.521068)",5.6,,10.5,5.8,9.300000000000001,1.9
West Virginia,"West, Virginia
(38.665511, -80.712638)",5.6,,12.9,4.4,9.300000000000001,
Virginia,"Virginia
(37.542681, -78.457889)",2.5,1.2,4.5,2.6,4.1,0.9
Iowa,"Iowa
(42.469401, -93.816487)",3.2,,5.9,2.9,5.1,
Louisiana,"Louisiana
(31.312663, -92.445678)",5.2,2.8,8.6,5.1,8.300000000000001,2.4
Tennessee,"Tennessee
(35.680941, -85.774487)",4.6,1.6,8,4.9,7.5,1.8
Missouri,"Missouri
(38.635791, -92.566299)",4.8,1.9,9.5,4.4,7.8,1.8
Georgia,"Georgia
(32.839683, -83.627579)",3,1,5.8,3.1,4.9,1.2
Texas,"Texas
(31.82724, -99.426768)",4.9,2.1,10,4.7,7.6,2.4
Maine,"Maine
(45.254229, -68.985026)",3.8,,,2.8,6.6,
Mississippi,"Mississippi
(32.745513, -89.538027)",6.1,2.6,12,5.7,9.800000000000001,2.7
Colorado,"Colorado
(38.843843, -106.133609)",2.5,,5.6,2,3.9,1.1
Alabama,"Alabama
(32.840572, -86.631857)",5.5,2.7,10.3,5,8.4,2.9
Maryland,"Maryland
(39.290583, -76.60926)",2.7,1.6,5.8,2.2,4.1,1.4
California,"California
(37.638642, -120.999996)",2,0.9,4.5,1.8,3.2,1
Idaho,"Idaho
(43.682632, -114.363727)",3.6,,8.699999999999999,2.7,5.8,
Vermont,"Vermont
(43.625384, -72.517637)",3.4,,,,,
District of Columbia,"District of Columbia
(38.890373, -77.031957)",,,,,,
North Dakota,"North Dakota
(47.475319, -100.118428)",11.3,,15.3,12,17.399999999999999,
Wisconsin,"Wisconsin
(44.393191, -89.816366)",3.6,1.6,6.5,3.5,5.6,1.6
Oregon,"Oregon
(44.56745, -120.155029)",2.2,,5.2,1.8,3.1,1.3
Hawaii,"Hawaii
(21.304852, -157.857748)",3.8,,,3.2,5.7,
Pennsylvania,"Pennsylvania
(40.793734, -77.860697)",3.3,1.4,7.2,2.8,5.4,1.3
Arizona,"Arizona
(34.865974, -111.763807)",3.6,1.6,6.9,3.3,5.4,1.7
Washington,"Washington
(47.522288, -120.470028)",2.1,,4,2,3.6,0.7
United States,"United States
(39.759996, -98.499999)",3.3,1.3,6.7,3.1,5.2,1.5
Alaska,"Alaska
(64.845078, -147.72206)",,,,,,
New York,"New York
(42.827004, -75.543966)",1.7,0.6,3.3,1.7,2.7,0.8
Illinois,"Illinois
(40.485012, -88.997709)",2.5,0.7,6,2.1,4,1
South Carolina,"South Carolina
(33.998822, -81.045366)",7.6,2.8,14.2,7.6,12.3,3.2
Indiana,"Indiana
(39.766913, -86.149956)",3.6,1.2,7.2,3.5,6,1.3
Utah,"Utah
(39.360701, -111.587128)",1.2,,,1.9,1.7,
Nebraska,"Nebraska
(41.641044, -99.365719)",4,,6.5,3.5,6.4,
Massachusetts,"Massachusetts
(42.276874, -72.082687)",1.8,,3.3,1.7,2.7,0.9
Montana,"Montana
(47.066528, -109.424416)",9.4,,21.4,7.2,14.9,4
New Mexico,"New Mexico
(34.520881, -106.240578)",4.8,,9.1,4.5,6.9,2.9
New Jersey,"New Jersey
(40.130571, -74.273688)",1.8,,4.6,1.4,2.9,0.9
Wyoming,"Wyoming
(43.235541, -108.109827)",7.1,,17.3,,11.3,
North Carolina,"North Carolina
(35.46622, -79.15925)",4.2,1.7,8,4,6.8,1.7
Ohio,"Ohio
(40.060212, -82.404257)",3.5,1.2,6.8,3.3,5.5,1.6
Delaware,"Delaware
(39.008834, -75.577736)",3.8,,,4,6.6,
Kansas,"Kansas
(38.347743, -98.200778)",3.4,2.3,6,3,6,
Florida,"Florida
(28.932043, -81.928958)",3.7,1.2,8,3.3,5.7,1.7
New Hampshire,"New Hampshire
(43.655953, -71.500357)",2.4,,,2.9,4.1,
Minnesota,"Minnesota
(46.355649, -94.7942)",2.1,,3.7,2.2,3.2,1.2
Arkansas,"Arkansas
(34.74865, -92.27449)",5.1,,10.5,4.3,8.1,2.2
Michigan,"Michigan
(44.661322, -84.714386)",2.7,1.1,6.8,2,4.3,1.2
Rhode Island,"Rhode Island
(41.708281, -71.522466)",2.3,,,,,
Nevada,"Nevada
(39.493242, -117.071839)",2.8,,4.6,3.2,4.2,1.4
